All KEYS::
Value of State: 67, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 46,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 44,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 40,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 38,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 40,  Action: 0, 0, 0,  is: 0.0
